number of episodes,average reward/episode
0.464,-6.505376344
0.465,-6.493562232
0.466,-6.494646681
0.467,-6.527777778
0.468,-6.558635394
0.469,-6.50212766
0.47,-6.503184713
0.471,-6.495762712
0.472,-6.456659619
0.473,-6.483122363
0.474,-6.477894737
0.475,-6.476890756
0.476,-6.48427673
0.477,-6.439330544
0.478,-6.436325678
0.479,-6.377083333
0.48,-6.388773389
0.481,-6.427385892
0.482,-6.465838509
0.483,-6.444214876
0.484,-6.482474227
0.485,-6.520576132
0.486,-6.558521561
0.487,-6.596311475
0.488,-6.63394683
0.489,-6.616326531
0.49,-6.653767821
0.491,-6.615853659
0.492,-6.612576065
0.493,-6.623481781
0.494,-6.646464646
0.495,-6.641129032
0.496,-6.639839034
0.497,-6.66064257
0.498,-6.673346693
0.499,-6.622
0.5,-6.620758483
0.501,-6.635458167
0.502,-6.671968191
0.503,-6.668650794
0.504,-6.671287129
0.505,-6.664031621
0.506,-6.700197239
0.507,-6.700787402
0.508,-6.695481336
0.509,-6.68627451
0.51,-6.637964775
0.511,-6.587890625
0.512,-6.584795322
0.513,-6.610894942
0.514,-6.625242718
0.515,-6.63372093
0.516,-6.593810445
0.517,-6.583011583
0.518,-6.585741811
0.519,-6.586538462
0.52,-6.58925144
0.521,-6.624521073
0.522,-6.565965583
0.523,-6.562977099
0.524,-6.580952381
0.525,-6.615969582
0.526,-6.631878558
0.527,-6.666666667
0.528,-6.669187146
0.529,-6.626415094
0.53,-6.627118644
0.531,-6.616541353
0.532,-6.562851782
0.533,-6.56741573
0.534,-6.525233645
0.535,-6.516791045
0.536,-6.551210428
0.537,-6.539033457
0.538,-6.545454545
0.539,-6.527777778
0.54,-6.532347505
0.541,-6.488929889
0.542,-6.484346225
0.543,-6.488970588
0.544,-6.480733945
0.545,-6.472527473
0.546,-6.473491773
0.547,-6.49270073
0.548,-6.491803279
0.549,-6.476363636
0.55,-6.430127042
0.551,-6.425724638
0.552,-6.428571429
0.553,-6.395306859
0.554,-6.392792793
0.555,-6.426258993
0.556,-6.414721724
0.557,-6.405017921
0.558,-6.438282648
0.559,-6.471428571
0.56,-6.490196078
0.561,-6.501779359
0.562,-6.509769094
0.563,-6.517730496
0.564,-6.465486726
0.565,-6.457597173
0.566,-6.455026455
0.567,-6.487676056
0.568,-6.48857645
0.569,-6.507017544
0.57,-6.506129597
0.571,-6.496503497
0.572,-6.488656195
0.573,-6.520905923
0.574,-6.47826087
0.575,-6.510416667
0.576,-6.526863085
0.577,-6.532871972
0.578,-6.552677029
0.579,-6.54137931
0.58,-6.526678141
0.581,-6.517182131
0.582,-6.506003431
0.583,-6.5
0.584,-6.497435897
0.585,-6.484641638
0.586,-6.482112436
0.587,-6.493197279
0.588,-6.494057725
0.589,-6.5
0.59,-6.499153976
0.591,-6.494932432
0.592,-6.494097808
0.593,-6.496632997
0.594,-6.492436975
0.595,-6.515100671
0.596,-6.514237856
0.597,-6.518394649
0.598,-6.517529215
0.599,-6.505
0.6,-6.514143095
0.601,-6.513289037
0.602,-6.474295191
0.603,-6.496688742
0.604,-6.495867769
0.605,-6.5
0.606,-6.499176277
0.607,-6.462171053
0.608,-6.477832512
0.609,-6.472131148
0.61,-6.469721768
0.611,-6.460784314
0.612,-6.458401305
0.613,-6.457654723
0.614,-6.460162602
0.615,-6.428571429
0.616,-6.380875203
0.617,-6.373786408
0.618,-6.366720517
0.619,-6.353225806
0.62,-6.317230274
0.621,-6.279742765
0.622,-6.288924559
0.623,-6.299679487
0.624,-6.2928
0.625,-6.285942492
0.626,-6.291866029
0.627,-6.28343949
0.628,-6.276629571
0.629,-6.274603175
0.63,-6.23296355
0.631,-6.235759494
0.632,-6.260663507
0.633,-6.268138801
0.634,-6.275590551
0.635,-6.268867925
0.636,-6.266875981
0.637,-6.296238245
0.638,-6.289514867
0.639,-6.2859375
0.64,-6.290171607
0.641,-6.319314642
0.642,-6.312597201
0.643,-6.295031056
0.644,-6.324031008
0.645,-6.335913313
0.646,-6.332302937
0.647,-6.353395062
0.648,-6.348228043
0.649,-6.376923077
0.65,-6.367127496
0.651,-6.323619632
0.652,-6.330781011
0.653,-6.359327217
0.654,-6.34351145
0.655,-6.341463415
0.656,-6.348554033
0.657,-6.340425532
0.658,-6.295902883
0.659,-6.307575758
0.66,-6.335854766
0.661,-6.302114804
0.662,-6.330316742
0.663,-6.343373494
0.664,-6.336842105
0.665,-6.364864865
0.666,-6.35832084
0.667,-6.386227545
0.668,-6.403587444
0.669,-6.402985075
0.67,-6.418777943
0.671,-6.446428571
0.672,-6.408618128
0.673,-6.396142433
0.674,-6.401481481
0.675,-6.406804734
0.676,-6.400295421
0.677,-6.408554572
0.678,-6.422680412
0.679,-6.45
0.68,-6.446402349
0.681,-6.453079179
0.682,-6.450951684
0.683,-6.469298246
0.684,-6.459854015
0.685,-6.485422741
0.686,-6.491994178
0.687,-6.504360465
0.688,-6.477503628
0.689,-6.475362319
0.69,-6.468885673
0.691,-6.469653179
0.692,-6.477633478
0.693,-6.468299712
0.694,-6.471942446
0.695,-6.438218391
0.696,-6.43615495
0.697,-6.428366762
0.698,-6.454935622
0.699,-6.46
0.7,-6.455064194
0.701,-6.478632479
0.702,-6.504978663
0.703,-6.514204545
0.704,-6.507801418
0.705,-6.502832861
0.706,-6.499292786
0.707,-6.497175141
0.708,-6.489421721
0.709,-6.478873239
0.71,-6.47257384
0.711,-6.469101124
0.712,-6.464235624
0.713,-6.490196078
0.714,-6.486713287
0.715,-6.467877095
0.716,-6.470013947
0.717,-6.467966574
0.718,-6.454798331
0.719,-6.454166667
0.72,-6.447988904
0.721,-6.444598338
0.722,-6.467496542
0.723,-6.466850829
0.724,-6.471724138
0.725,-6.465564738
0.726,-6.460797799
0.727,-6.460164835
0.728,-6.485596708
0.729,-6.48630137
0.73,-6.467852257
0.731,-6.464480874
0.732,-6.489768076
0.733,-6.485013624
0.734,-6.478911565
0.735,-6.504076087
0.736,-6.502035278
0.737,-6.462059621
0.738,-6.456021651
0.739,-6.45
0.74,-6.45074224
0.741,-6.446091644
0.742,-6.464333782
0.743,-6.470430108
0.744,-6.493959732
0.745,-6.479892761
0.746,-6.497991968
0.747,-6.485294118
0.748,-6.480640854
0.749,-6.48
0.75,-6.486018642
0.751,-6.494680851
0.752,-6.505976096
0.753,-6.49469496
0.754,-6.503311258
0.755,-6.501322751
0.756,-6.495376486
0.757,-6.492084433
0.758,-6.516469038
0.759,-6.478947368
0.76,-6.44021025
0.761,-6.435695538
0.762,-6.460026212
0.763,-6.467277487
0.764,-6.469281046
0.765,-6.475195822
0.766,-6.49934811
0.767,-6.513020833
0.768,-6.516254876
0.769,-6.512987013
0.77,-6.511024643
0.771,-6.507772021
0.772,-6.521345408
0.773,-6.515503876
0.774,-6.539354839
0.775,-6.550257732
0.776,-6.567567568
0.777,-6.588688946
0.778,-6.591784339
0.779,-6.58974359
0.78,-6.582586428
0.781,-6.606138107
0.782,-6.624521073
0.783,-6.641581633
0.784,-6.610191083
0.785,-6.617048346
0.786,-6.609911055
0.787,-6.614213198
0.788,-6.618504436
0.789,-6.641772152
0.79,-6.640960809
0.791,-6.612373737
0.792,-6.634300126
0.793,-6.651133501
0.794,-6.652830189
0.795,-6.655778894
0.796,-6.65119197
0.797,-6.646616541
0.798,-6.649561952
0.799,-6.665
0.8,-6.687890137
0.801,-6.690773067
0.802,-6.683686177
0.803,-6.706467662
0.804,-6.701863354
0.805,-6.689826303
0.806,-6.688971499
0.807,-6.693069307
0.808,-6.705809642
0.809,-6.720987654
0.81,-6.716399507
0.811,-6.689655172
0.812,-6.661746617
0.813,-6.657248157
0.814,-6.66993865
0.815,-6.659313725
0.816,-6.651162791
0.817,-6.660146699
0.818,-6.682539683
0.819,-6.670731707
0.82,-6.673568819
0.821,-6.686131387
0.822,-6.654921021
0.823,-6.651699029
0.824,-6.673939394
0.825,-6.64527845
0.826,-6.649334946
0.827,-6.6147343
0.828,-6.616405308
0.829,-6.638554217
0.83,-6.629362214
0.831,-6.645432692
0.832,-6.621848739
0.833,-6.612709832
0.834,-6.634730539
0.835,-6.612440191
0.836,-6.580645161
0.837,-6.581145585
0.838,-6.574493445
0.839,-6.570238095
0.84,-6.5921522
0.841,-6.596199525
0.842,-6.591933571
0.843,-6.558056872
0.844,-6.563313609
0.845,-6.585106383
0.846,-6.60566706
0.847,-6.601415094
0.848,-6.60188457
0.849,-6.597647059
0.85,-6.593419506
0.851,-6.596244131
0.852,-6.596717468
0.853,-6.567915691
0.854,-6.576608187
0.855,-6.573598131
0.856,-6.595099183
0.857,-6.597902098
0.858,-6.607683353
0.859,-6.581395349
0.86,-6.577235772
0.861,-6.585846868
0.862,-6.552723059
0.863,-6.542824074
0.864,-6.54566474
0.865,-6.535796767
0.866,-6.507497116
0.867,-6.528801843
0.868,-6.535097814
0.869,-6.535632184
0.87,-6.556831228
0.871,-6.548165138
0.872,-6.545246277
0.873,-6.561784897
0.874,-6.569142857
0.875,-6.570776256
0.876,-6.55986317
0.877,-6.562642369
0.878,-6.559726962
0.879,-6.555681818
0.88,-6.552780931
0.881,-6.540816327
0.882,-6.517553794
0.883,-6.50678733
0.884,-6.494915254
0.885,-6.478555305
0.886,-6.447576099
0.887,-6.436936937
0.888,-6.457817773
0.889,-6.43258427
0.89,-6.45342312
0.891,-6.456278027
0.892,-6.454647256
0.893,-6.446308725
0.894,-6.444692737
0.895,-6.438616071
0.896,-6.459308807
0.897,-6.471046771
0.898,-6.446051168
0.899,-6.446666667
0.9,-6.446170921
0.901,-6.435698448
0.902,-6.436323367
0.903,-6.442477876
0.904,-6.462983425
0.905,-6.434878587
0.906,-6.435501654
0.907,-6.455947137
